Patent #	Patent Title	Lab	Issue Date	
6900025	Detection of antibodies to squalene in serum	Army Medical Research and Materiel Command	5/31/2005	
6900477	Processing technique to improve the turn-off gain of a silicon carbide gate turn-off thyristor and an article of manufacture	Army Research Laboratory - Aberdeen	5/31/2005	
6895871	Hazardous materials decontamination platform	NAVSEA Crane	5/24/2005	
6897464	Active optical component alignment system and method	"Army Aviation & Missile Research, Development & Engineering Center"	5/24/2005	
6896224	Apparatus and method for mitigating toe strike in aircraft	NAVSEA Indian Head	5/24/2005	
6896779	Corrosion sensor	Naval Research Laboratory	5/24/2005	
6898584	Monitoring of aircraft usage	NAVSEA Carderock	5/24/2005	
6896377	Interchangeable low-backscatter aperture structure	Army Medical Research and Materiel Command	5/24/2005	
6897032	Method for detecting G- and V-agents of chemical warfare and their degradation products	RDEC Edgewood Chemical Biological Center	5/24/2005	
6896003	High efficiency low actuation force inlet door	NAVSEA Newport	5/24/2005	
6895850	Pressure-released brake assembly for restraining projectile in launch tube	NAVSEA Dahlgren	5/24/2005	
6895371	Geometrical modeling of structural products	NAVSEA Carderock	5/17/2005	
6894950	Underwater vehicle thermal boundary detection system	NAVSEA Newport	5/17/2005	
6895370	"Detecting, classifying and localizing minor amounts of an element within a sample of material"	Army TechMatch Patent Lab	5/17/2005	
6890322	Catheter securing device	Army Medical Research and Materiel Command	5/10/2005	
6891014	Oligomeric hydroxy arylether phthalonitiles and synthesis thereof	Naval Research Laboratory	5/10/2005	
6890504	Polymeric and carbon compositions with metal nanoparticles	Naval Research Laboratory	5/10/2005	
6889624	Grapple anchor device for underwater towing of watercraft	NAVSEA Carderock	5/10/2005	
6890233	Method of making low gate current multilayer emitter with vertical thin-film-edge multilayer emitter	Naval Research Laboratory	5/10/2005	
6891077	Fibrinogen bandages and arterial bleeding models and methods of making and using thereof	Army Medical Research and Materiel Command	5/10/2005	
6888353	Magnetic anomaly homing system and method using magnetic total field scalars	NAVSEA Panama City	5/3/2005	
6887466	Methods for selectively stimulating proliferation of T cells	Naval Medical Research Center	5/3/2005	
6886324	Apparatus for reducing coking in gas turbine bearings	Army Research Laboratory - Aberdeen	5/3/2005	
6888660	Magnetic organic light emitting device and method for modulating electroluminescence intensity	Naval Research Laboratory	5/3/2005	
6883390	Instrument for measuring water-spray blast force	NAVSEA Panama City	4/26/2005	
6883452	Plunging towed array antenna	NAVSEA Newport	4/26/2005	
6884861	Metal nanoparticle thermoset and carbon compositions from mixtures of metallocene-aromatic-acetylene compounds	Naval Research Laboratory	4/26/2005	
6883453	Unmanned watercraft retrieval system	NAVSEA Carderock	4/26/2005	
6886010	Method for data and text mining and literature-based discovery	Office of Naval Research	4/26/2005	
6884588	Nucleotide sequences for detection of bacillus anthracis	RDEC Edgewood Chemical Biological Center	4/26/2005	
6885348	Test chamber for a low band antenna array	NAVAIR Point Mugu	4/26/2005	
6881383	Explosive destruction system for disposal of chemical munitions	RDEC Edgewood Chemical Biological Center	4/19/2005	
6881871	Trinitrotoluene (TNT) and environmentally friendly methods for making the same	NAVAIR China Lake	4/19/2005	
6880400	Phase synchronized array of non-identical oscillators using coupling network	"SPAWAR Systems Center, Pacific"	4/19/2005	
6881374	Method for induction lamination of electrically conductive fiber reinforced composite materials	Army Research Laboratory - Aberdeen	4/19/2005	
6879543	Acoustic processing for estimating size of small targets	NAVSEA Newport	4/12/2005	
6879547	Combined stabilization bracket and mine system for gathering undersea data	NAVSEA Panama City	4/12/2005	
6880109	Functional element test tool and method	NAVSEA Newport	4/12/2005	
6879011	Magnetically shielded circuit board	Strategic Systems Programs	4/12/2005	
6878100	Force sensing treadmill	Army Medical Research and Materiel Command	4/12/2005	
6878856	System and method for bioremediating wastestreams containing energetics	ERDC Construction Engineering Research Laboratory	4/12/2005	
6879544	Manatee vocalization detection method and system	NAVSEA Panama City	4/12/2005	
6879397	Light scattering detector	NAVSEA Panama City	4/12/2005	
6879256	Seal compression indication system	NAVSEA Carderock	4/12/2005	
6875602	Portable thermocycler	Army Medical Research and Materiel Command	4/5/2005	
6876321	Pulse descriptor word collector	NAVSEA Crane	4/5/2005	
6875369	"Ferroelectric/paraelectric materials, and phase shifter devices, true time delay devices and the like containing same"	Army Research Laboratory - Aberdeen	4/5/2005	
6876953	Narrowband signal processor	NAVSEA Newport	4/5/2005	
6876780	Providing for automated note completion	Army Medical Research and Materiel Command	4/5/2005	
6875433	Monoclonal antibodies and complementarity-determining regions binding to Ebola glycoprotein	Army Medical Research and Materiel Command	4/5/2005	
6872725	Solid-state forms of N-(2-hydroxyacetyl)-5-(4-piperidyl)-4-(4-pyrimidinyl)-3-(4-chlorophenyl) pyrazole	"SPAWAR Systems Center, Pacific"	3/29/2005	
6873946	Zeus code tool a method for implementing same and storage medium storing computer readable instructions for instantiating the zeus code tool	NAVSEA Dahlgren	3/29/2005	
6872398	Conjugate vaccine against gram-negative bacterial infections	Army Medical Research and Materiel Command	3/29/2005	
6871610	Assembly for launching bodies from an underwater platform	NAVSEA Newport	3/29/2005	
6873886	Modular mission payload control software	NAVSEA Crane	3/29/2005	
6873572	Low-frequency sonar countermeasure	NAVSEA Newport	3/29/2005	
6871645	Reduced-oxygen breathing device	Naval Medical Research Center	3/29/2005	
6873893	Missile warning and protection system for aircraft platforms	Naval Research Laboratory	3/29/2005	
6873961	Method and apparatus for identifying and tracking project trends	NAVSEA Newport	3/29/2005	
6872266	Triazole crosslinked polymers in recyclable energetic compositions and method of preparing the same	NAVAIR China Lake	3/29/2005	
6868789	Adaptor for securing a blasting cap initiator	"Army Armament Research, Development & Engineering Center"	3/22/2005	
6870534	Method of simulating explosive performance	NAVSEA Panama City	3/22/2005	
6869602	"Method for treating, preventing, or inhibiting enterotoxigenic Escherichia coli infections with bovine red blood cells"	Army Medical Research and Materiel Command	3/22/2005	
6868791	Single stage kinetic energy warhead utilizing a barrier-breaching projectile followed by a target-defeating explosively formed projectile	"Army Armament Research, Development & Engineering Center"	3/22/2005	
6869784	"Passivation of nerve agents by surface modified enzymes stabilized by non-covalent immobilization on robust, stable particles"	Naval Research Laboratory	3/22/2005	
6870378	Test apparatus and method for reliability assessment of high power switching devices	Army Research Laboratory - Aberdeen	3/22/2005	
6868768	Surf zone mine clearance and assault system	NAVSEA Newport	3/22/2005	
6871147	Automated method of identifying and archiving nucleic acid sequences	Army Medical Research and Materiel Command	3/22/2005	
6868790	High velocity underwater jet weapon	NAVSEA Newport	3/22/2005	
6869787	Ricin vaccine and methods of making and using thereof	Army Medical Research and Materiel Command	3/22/2005	
6868197	Connector-less high speed underwater data interface	NAVSEA Panama City	3/15/2005	
6865977	Protective packaging device for blast and fragmentation mitigation	"Army Armament Research, Development & Engineering Center"	3/15/2005	
6868360	Small head-mounted compass system with optical display	NAVSEA Panama City	3/15/2005	
6867737	Reduced size GPS conical shaped microstrip antenna array	NAVAIR Point Mugu	3/15/2005	
6868107	Method for designing photonic-crystal distributed-feedback and distributed bragg-reflector lasers	Naval Research Laboratory	3/15/2005	
6867281	"Highly conducting and transparent thin films formed from new fluorinated derivatives of 3,4-ethylenedioxythiophene"	Naval Research Laboratory	3/15/2005	
6868042	Data-based signal definition for frequency domain adaptive beamforming algorithms	NAVSEA Newport	3/15/2005	
6865990	"Low-cost, no-fragment explosive access tool"	NAVSEA Indian Head	3/15/2005	
6867444	Semiconductor substrate incorporating a neutron conversion layer	Naval Research Laboratory	3/15/2005	
6864858	Radar reflecting rescue device	NAVSEA Carderock	3/8/2005	
6863488	Foldable tire dolly	"Tank-Automotive Research, Development and Engineering Center"	3/8/2005	
6864690	Apparatus for precision measurement of microwave material properties as functions of temperature and frequency	Army Research Laboratory - Aberdeen	3/8/2005	
6863751	Minimum signature propellant	NAVAIR China Lake	3/8/2005	
6864056	Method for detecting ribosome inactivating proteins	RDEC Edgewood Chemical Biological Center	3/8/2005	
6865523	Non-linear axisymmetric potential flow boundary model for partially cavitating high speed bodies	NAVSEA Newport	3/8/2005	
6861208	Fullerene addition in photoresist via incorporation in the developer	Army Research Laboratory - Aberdeen	3/1/2005	
6862387	Low-loss compact reflective turns in optical waveguides	Naval Research Laboratory	3/1/2005	
6860156	Combined in-plane shear and multi-axial tension or compression testing apparatus	NAVSEA Newport	3/1/2005	
6862147	Decentered field lens with tilted focal plane array	Night Vision & Electronic Sensors Directorate	3/1/2005	
6861935	Field tapering in magnetic spheres and cylinders with distortion free access	Army CERDEC - Fort Monmouth	3/1/2005	
6861497	Polyimides having an unusually low and tunable electrical resistivity useful for electrical and optical applications	NAVAIR China Lake	3/1/2005	
6861914	Monolithic vibration isolation and an ultra-high Q mechanical resonator	Naval Research Laboratory	3/1/2005	
6858372	Resist composition with enhanced X-ray and electron sensitivity	Naval Research Laboratory	2/22/2005	
6859537	Non-volatile memory for use with an encryption device	NAVAIR Point Mugu	2/22/2005	
6859111	Voltage tuned ferroelectric resonant oscillator	Army Research Laboratory - Aberdeen	2/22/2005	
6857535	Container interlocking device	"Army Armament Research, Development & Engineering Center"	2/22/2005	
6859419	Laser-based acousto-optic uplink communications technique	NAVSEA Newport	2/22/2005	
6859178	Reduced size TM cylindrical shaped microstrip antenna array	NAVAIR Point Mugu	2/22/2005	
6859861	Space division within computer branch memories	Army CERDEC - Fort Monmouth	2/22/2005	
6858825	Device and method for preventing superheating of liquids in a microwave oven	NAVSEA Newport	2/22/2005	
6859359	Modular sensor platform	Army Research Laboratory - Aberdeen	2/22/2005	
6858289	Optical filters comprising solar blind dyes and UV-transparent substrates	Naval Research Laboratory	2/22/2005	
6858535	Methods for patterning metal layers for use with forming semiconductor devices	"U.S. Army Armament Research, Development and Engineering Center"	2/22/2005	
6859180	Gravity-actuated submarine antenna	NAVSEA Newport	2/22/2005	
6859764	"Detecting, classifying and localizing minor amounts of an element within a sample of material"	Army TechMatch Patent Lab	2/22/2005	
6859189	Broadband antennas	"SPAWAR Systems Center, Pacific"	2/22/2005	
6855773	Polymer-based surfactants and interfacial modifier materials	Army Research Laboratory - Aberdeen	2/15/2005	
6856520	Double sided IGBT phase leg architecture and clocking method for reduced turn on loss	Naval Research Laboratory	2/15/2005	
6856342	Control circuitry for high speed video camera operation	NAVSEA Newport	2/15/2005	
6855521	Serotype and dengue group specific flurogenic probe based PCR (TaqMan) assays against the respective C and NS5 genomic and 3' non-coding regions of dengue virus	Naval Medical Research Center	2/15/2005	
6855521	Serotype and dengue group specific flurogenic probe based PCR (TaqMan) assays against the respective C and NS5 genomic and 3' non-coding regions of dengue virus	Naval Medical Research Center	2/15/2005	
6856455	"Light source apparatus, optical amplifier and optical communication system"	NAVSEA Panama City	2/15/2005	
6855322	Isolation and purification of P. falciparum merozoite protein-142 vaccine	Army Medical Research and Materiel Command	2/15/2005	
6855331	Sustained release hydrophobic bioactive PLGA microspheres	Army Medical Research and Materiel Command	2/15/2005	
6856290	Reduced size TM cylindrical shaped microstrip antenna array having a GPS band stop filter	NAVAIR Point Mugu	2/15/2005	
6854412	Underwater vacuum attachment device	NAVSEA Panama City	2/15/2005	
6856224	End caps on hollow magnets	Army CERDEC - Fort Monmouth	2/15/2005	
6856579	Broadband towed line array with spatial discrimination capabilities	NAVSEA Newport	2/15/2005	
6854409	Rotary electromagnetic launch tube	NAVSEA Newport	2/15/2005	
6854279	Dynamic desiccation cooling system for ships	NAVSEA Carderock	2/15/2005	
6854410	Underwater investigation system using multiple unmanned vehicles	NAVSEA Panama City	2/15/2005	
6852903	Decontamination of chemical warfare agents using a reactive sorbent	RDEC Edgewood Chemical Biological Center	2/8/2005	
6853765	MEMS optical switch with thermal actuator	NAVSEA Indian Head	2/8/2005	
6854004	Irregular optical interconnections to compensate for non-uniformities in analog optical processors	NAVSEA Dahlgren	2/8/2005	
6854058	Low-interference communications device using chaotic signals	Naval Research Laboratory	2/8/2005	
6851381	"Airborne mine neutralization system, neutralizer pressure relief valve"	NAVSEA Panama City	2/8/2005	
6852289	Methods and apparatus for determining analytes in various matrices	Naval Research Laboratory	2/8/2005	
6853875	"System for the combined handling, delivery and/or protection of multiple standardized containers and their controllable payloads"	NAVSEA Panama City	2/8/2005	
6851347	Multi-lobed buoyant launch capsule	NAVSEA Newport	2/8/2005	
6850173	Waterway shielding system and method	NAVSEA Newport	2/1/2005	
6849356	Separated flow liquid catholyte aluminum hydrogen peroxide seawater semi fuel cell	NAVSEA Newport	2/1/2005	
6849247	Gas generating process for propulsion and hydrogen production	NAVSEA Indian Head	2/1/2005	
6848311	Method for estimating the properties of a solid material subjected to compressional forces	NAVSEA Newport	2/1/2005	
6850152	Non-flammable land and sea marker	NAVSEA Panama City	2/1/2005	
6849050	System and method for determining visual alertness	Army Medical Research and Materiel Command	2/1/2005	
6848386	Underwater weapon system having a rotatable gun	NAVSEA Newport	2/1/2005	
6847211	Apparatus and method for calibrating voltage spike waveforms for three-phase electrical devices and systems	NAVSEA Newport	1/25/2005	
6847449	Method and apparatus for reducing speckle in optical coherence tomography images	Naval Research Laboratory	1/25/2005	
6846345	Synthesis of metal nanoparticle compositions from metallic and ethynyl compounds	Naval Research Laboratory	1/25/2005	
6847153	Polyurethane electrostriction	NAVSEA Carderock	1/25/2005	
6846926	"Triazolyl-aminotriazine compositions, including salts"	NAVSEA Indian Head	1/25/2005	
6847212	Apparatus and method for calibrating voltage spike waveforms	NAVSEA Newport	1/25/2005	
6845551	Method of making a power electronics capacitor	"Tank-Automotive Research, Development and Engineering Center"	1/25/2005	
6846372	Reactively induced fragmentating explosives	NAVSEA Indian Head	1/25/2005	
6845671	Inverse method to estimate the properties of a flexural beam and the corresponding boundary parameters	NAVSEA Newport	1/25/2005	
6845566	Rotating feeler gage	NAVSEA Newport	1/25/2005	
6845714	On-board power generation system for a guided projectile	"Army Aviation & Missile Research, Development & Engineering Center"	1/25/2005	
6845728	Towable submarine mast simulator	NAVSEA Newport	1/25/2005	
6846633	Nucleotide sequences for detection of Bacillus anthracis	RDEC Edgewood Chemical Biological Center	1/25/2005	
6847446	Chemical analysis and detection by selective adsorbent sampling and laser induced breakdown spectroscopy	Naval Research Laboratory	1/25/2005	
6843197	Near shore port security barrier	Naval Facilities Engineering Service Center	1/18/2005	
6844841	Radio frequency link performance tool process and system	Army Research Laboratory - Aberdeen	1/18/2005	
6843014	Weapon inhibit using nitinol wire	"Army Armament Research, Development & Engineering Center"	1/18/2005	
6844160	Nucleotide sequences for detection of Bacillus anthracis	RDEC Edgewood Chemical Biological Center	1/18/2005	
6844924	Ladar system for detecting objects	Army Research Laboratory - Aberdeen	1/18/2005	
6844010	Therapeutic treatment and prevention of infections with a bioactive materials encapsulated within a biodegradable-biocompatible polymeric matrix	Army Medical Research and Materiel Command	1/18/2005	
6842922	Critical care platform for litters	Army Medical Research and Materiel Command	1/18/2005	
6843868	Propellants and explosives with flouro-organic additives to improve energy release efficiency	NAVSEA Indian Head	1/18/2005	
6844875	Video converter board	NAVSEA Crane	1/18/2005	
6844202	High efficiency magnetic sensor for magnetic particles	Naval Research Laboratory	1/18/2005	
6842013	Method for making transmission measurements in a dual-chambered anechoic chamber using spatial averaging	"SPAWAR Systems Center, Pacific"	1/11/2005	
6839998	Replacement chassis stock system for firearms	NAVSEA Crane	1/11/2005	
6842713	Rapid diagnostic multi data retrieval apparatus and method for using the same	NAVAIR China Lake	1/11/2005	
6842242	Electively maximizing and minimizing the scattering and absorption of electromagnetic waves	NAVSEA Dahlgren	1/11/2005	
6840150	Device and method for safely removing the spindle and the breechblock from the carrier of an M777 howitzer	Army Yuma Proving Ground	1/11/2005	
6841994	"Magnetic anomaly sensing system for detection, localization and classification of magnetic objects"	NAVSEA Panama City	1/11/2005	
6842145	Reduced size GPS microstrip antenna	NAVAIR Point Mugu	1/11/2005	
6840456	Injection valves	RDEC Edgewood Chemical Biological Center	1/11/2005	
6841015	Delay element and ignition composition	NAVSEA Indian Head	1/11/2005	
6841346	Methods for detecting bacteriophage MS2	RDEC Edgewood Chemical Biological Center	1/11/2005	
6841159	Rapid lateral flow assay for determining exposure to Mycobacterium tuberculosis and other mycobacteria	Naval Medical Research Center	1/11/2005	
6842138	Target designation system	NAVAIR Point Mugu	1/11/2005	
6841690	Polyazido compounds	Army Medical Research and Materiel Command	1/11/2005	
6840295	Puncture proof tire employing an elongated body tube having shear resistant film	NAVSEA Newport	1/11/2005	
6837496	Bullet trapping medium and system	ERDC Geotechnical and Structures Laboratory	1/4/2005	
6838277	Furthering the enzymatic destruction of nerve agents	RDEC Edgewood Chemical Biological Center	1/4/2005	
6837164	Propelling charge increment protector for 120mm mortar ammunition	"Army Armament Research, Development & Engineering Center"	1/4/2005	
6837240	Display system upgrade for a full face mask	NAVSEA Panama City	1/4/2005	
6837175	Asymmetric tow system for multiple linear seismic arrays	NAVSEA Newport	1/4/2005	
6834828	Fin deployment system	NAVSEA Dahlgren	12/28/2004	
6836783	Finite-difference solver based on field programmable interconnect devices	Space Vehicles Directorate	12/28/2004	
6835582	Microchip-level optical interconnect	NAVSEA Indian Head	12/28/2004	
6834971	Low-backscatter aperture structure	Army Medical Research and Materiel Command	12/28/2004	
6835108	Oscillating appendage for fin propulsion	NAVSEA Newport	12/28/2004	
6834608	Assembly of underwater bodies and launcher therefor	NAVSEA Newport	12/28/2004	
6833454	Chemical compounds containing bis(triazolo)triazine structures and methods thereof	NAVSEA Indian Head	12/21/2004	
6833027	Method of manufacturing high voltage schottky diamond diodes with low boron doping	Naval Research Laboratory	12/21/2004	
6833917	Compact birefringent spectrometer with electrically adjustable passband	"SPAWAR Systems Center, Pacific"	12/21/2004	
6833019	Microwave assisted continuous synthesis of nanocrystalline powders and coatings using the polyol process	Naval Research Laboratory	12/21/2004	
6832522	Detector and system for indicating pressure change and methods of use	ERDC Cold Regions Research and Engineering Lab	12/21/2004	
6829857	Small arms weapon bipod	"Army Armament Research, Development & Engineering Center"	12/14/2004	
6831990	System and method for image tamper detection via thumbnail hiding	Army Research Laboratory - Aberdeen	12/14/2004	
6829957	Apparatus and methods for determining self-weight consolidation and other properties of media	Army TechMatch Patent Lab	12/14/2004	
6830728	Device and method for pneumatic gas sampling for gas sensors	Naval Research Laboratory	12/14/2004	
6829198	Electroacoustic transducer having compression screw mechanical bias	NAVSEA Newport	12/7/2004	
6827915	"Rare earth metal compounds for use in high critical temperature thin film super-conductors, ferroelectrics, pyroelectrics, piezoelectrics, and hybrids"	Army CERDEC - Fort Monmouth	12/7/2004	
6826783	Chemical/biological helmet	RDEC Edgewood Chemical Biological Center	12/7/2004	
6827791	Method for removing paint from a substrate	NAVSEA Newport	12/7/2004	
6827310	Apparatus and method for fin actuation in a portable missile	NAVAIR China Lake	12/7/2004	
6826864	Forward mounting rails	"Army Armament Research, Development & Engineering Center"	12/7/2004	
6825382	Trifluoromethylepinephrine compounds and methods of making and using thereof	Army Medical Research and Materiel Command	11/30/2004	
6826223	Surface-emitting photonic crystal distributed feedback laser systems and methods	Naval Research Laboratory	11/30/2004	
6824778	Prophylactic and therapeutic monoclonal antibodies	Army Medical Research and Materiel Command	11/30/2004	
6823736	Nondestructive acoustic emission testing system using electromagnetic excitation and method for using same	"SPAWAR Systems Center, Pacific"	11/30/2004	
6826480	Similarity transformation method for data processing and visualization	Naval Research Laboratory	11/30/2004	
6825801	Outer loop test generator for global positioning system	Strategic Systems Programs	11/30/2004	
6824776	Silica mesoporous aerogels having three-dimensional nanoarchitecture with colloidal gold-protein superstructures nanoglued therein	Naval Research Laboratory	11/30/2004	
6824984	Nucleotide sequences for detection of bacillus anthracis	RDEC Edgewood Chemical Biological Center	11/30/2004	
6825323	Compositions for treatment of hemorrhaging with activated factor VIIa in combination with fibrinogen and methods of using same	Army Medical Research and Materiel Command	11/30/2004	
6822373	Broadband triple resonant transducer	NAVSEA Newport	11/23/2004	
6822928	Adaptive sonar signal processing method and system	NAVSEA Newport	11/23/2004	
6820230	Self synchronous scrambler apparatus and method for use in dense wavelength division multiplexing	Naval Research Laboratory	11/16/2004	
6819237	Automated fire protection system	NAVAIR China Lake	11/16/2004	
6819696	Intersubband semiconductor lasers with enhanced subband depopulation rate	Army Research Laboratory - Aberdeen	11/16/2004	
6817299	Fragmenting projectile having threaded multi-wall casing	NAVSEA Dahlgren	11/16/2004	
6818924	Pulsed laser deposition of transparent conducting thin films on flexible substrates	Naval Research Laboratory	11/16/2004	
6818144	"Ferroelectric/paraelectric materials, and phase shifter devices, true time delay devices and the like containing same"	Army Research Laboratory - Aberdeen	11/16/2004	
6820025	Method and apparatus for motion tracking of an articulated rigid body	Naval Postgraduate School	11/16/2004	
6818268	Transparent armor structure	"Tank-Automotive Research, Development and Engineering Center"	11/16/2004	
6819984	LOST 2--a positioning system for under water vessels	Naval Research Laboratory	11/16/2004	
6819230	Target track crossing prediction/detection	NAVSEA Newport	11/16/2004	
6819630	Iterative decision feedback adaptive equalizer	NAVSEA Newport	11/16/2004	
6817297	"Low-cost, no-fragment explosive access tool"	NAVSEA Indian Head	11/16/2004	
6813783	Method and apparatus for making body heating and cooling garments	Natick Soldier Systems Center	11/9/2004	
6815425	"Pharmaceutical composition containing pGLU-GLU-PRO-NH2 and method for treating diseases and injuries to the brain, spinal cord and retina using same"	Army Medical Research and Materiel Command	11/9/2004	
6815015	Jetting behavior in the laser forward transfer of rheological systems	Naval Research Laboratory	11/9/2004	
6814690	Torso exercise methods and apparatus	"U.S. Army Armament Research, Development and Engineering Center"	11/9/2004	
6811591	Autonomous system and method for efficiently collecting fugitive airborne emissions from open vessels	Army TechMatch Patent Lab	11/2/2004	
6813218	Buoyant device for bi-directional acousto-optic signal transfer across the air-water interface	NAVSEA Newport	11/2/2004	
6811984	Nucleotide sequences for detection of Bacillus anthracis	RDEC Edgewood Chemical Biological Center	11/2/2004	
6813380	Method of determining hyperspectral line pairs for target detection	Army Research Laboratory - Aberdeen	11/2/2004	
6813219	Decision feedback equalization pre-processor with turbo equalizer	NAVSEA Newport	11/2/2004	
6811587	Biological hazard mitigation apparatus for mail/package handling personnel safety and operating methods therefor	NAVSEA Dahlgren	11/2/2004	
6808937	Displacement assay on a porous membrane	Naval Research Laboratory	10/26/2004	
6809682	Method and device for the detection and track of targets in high clutter	Redstone Technical Test Center	10/26/2004	
6809444	Free rotating integrated motor propulsor	NAVSEA Newport	10/26/2004	
6807763	Close combat butt stock for assault weapons	Army CERDEC - Fort Monmouth	10/26/2004	
6810365	Monitoring waste liquid to determine membrane cleansing performance	NAVSEA Carderock	10/26/2004	
6809506	Corrosion sensor loudspeaker for active noise control	Naval Research Laboratory	10/26/2004	
6805760	High energy propellant with reduced pollution	NAVAIR China Lake	10/19/2004	
6807343	Reconfigurable optical beamformer for simplified time steered arrays	Naval Research Laboratory	10/19/2004	
6806833	Confined plasma resonance antenna and plasma resonance antenna array	NAVSEA Newport	10/19/2004	
6805067	Contour stern flap	NAVSEA Carderock	10/19/2004	
6806721	Digital envelope detector	Naval Research Laboratory	10/19/2004	
6805918	Laser forward transfer of rheological systems	Naval Research Laboratory	10/19/2004	
6802172	Particle aerosol belt	RDEC Edgewood Chemical Biological Center	10/12/2004	
6802962	Deck drain cover plate assembly	NAVSEA Carderock	10/12/2004	
6802132	Electrolytic tilt sensor and method for manufacturing same	"SPAWAR Systems Center, Pacific"	10/12/2004	
6803071	Paraelectric thin film semiconductor material and method for producing the same	Army Research Laboratory - Aberdeen	10/12/2004	
6802592	Manually aligned printhead modules	NAVAIR Point Mugu	10/12/2004	
6803042	Oral or intranasal vaccines using hydrophobic complexes having proteosomes and lipopolysaccharides	Army Medical Research and Materiel Command	10/12/2004	
6803134	Paraelectric thin film material and method statement of government interest	Army Research Laboratory - Aberdeen	10/12/2004	
6803208	Automated epifluorescence microscopy for detection of bacterial contamination in platelets	Naval Research Laboratory	10/12/2004	
6803770	Wireless multiconductor cable test system and method	NAVSEA Newport	10/12/2004	
6803598	Si-based resonant interband tunneling diodes and method of making interband tunneling diodes	Naval Research Laboratory	10/12/2004	
6802907	Removing radar absorbing coatings	Naval Research Laboratory	10/12/2004	
6800913	Hybrid Hall vector magnetometer	Naval Research Laboratory	10/5/2004	
6801655	Spatial image processor	NAVSEA Newport	10/5/2004	
6799396	Watertight door closure	NAVSEA Carderock	10/5/2004	
6800155	"Conductive (electrical, ionic and photoelectric) membrane articlers, and method for producing same"	Natick Soldier Systems Center	10/5/2004	
6799595	Meltable and reclosable drain plug for molten salt reactor	NAVSEA Indian Head	10/5/2004	
6800949	Embedded chip enclosure with solder-free interconnect	"SPAWAR Systems Center, Pacific"	10/5/2004	
6800618	Chemosensitizing agents against chloroquine resistant plasmodium falciparum and methods of making and using thereof	Army Medical Research and Materiel Command	10/5/2004	
6799126	Nondestructive method for detecting structural anomalies in composites	NAVSEA Carderock	9/28/2004	
6796540	Two position mounting bracket for computer display	"Tank-Automotive Research, Development and Engineering Center"	9/28/2004	
6797191	Efficient snowmaking with polymer drag reduction	NAVSEA Newport	9/28/2004	
6796260	Elastomeric ejection system with acoustically improved check valve	NAVSEA Newport	9/28/2004	
6797276	Use of penetration enhancers and barrier disruption agents to enhance the transcutaneous immune response	Army Medical Research and Materiel Command	9/28/2004	
6798632	Power frequency electromagnetic field compensation system	NAVSEA Carderock	9/28/2004	
6798888	Mount for underwater acoustic projector	NAVSEA Newport	9/28/2004	
6796307	Multiple person high altitude recycling breathing apparatus	NAVSEA Panama City	9/28/2004	
6796166	All polymer humidity sensor based on laser carbonized polyimide substrate	Army Research Laboratory - Aberdeen	9/28/2004	
6798122	Lightweight underwater acoustic projector	NAVSEA Newport	9/28/2004	
6797485	Mass spectrometry of colonization factors	Army Medical Research and Materiel Command	9/28/2004	
6793488	Flavivirus detection and quantification assay	Army Medical Research and Materiel Command	9/21/2004	
6793440	Natural cue surface bypass collector	ERDC Environmental Laboratory	9/21/2004	
6795455	All solid-state RGB and white light generator	"SPAWAR Systems Center, Pacific"	9/21/2004	
6790070	Apparatus for locking a plug	Naval Air Systems Command	9/14/2004	
6789908	Confocal ellipsoidal mirror system for wide field of view imaging	NAVAIR China Lake	9/14/2004	
6790299	Minimum signature propellant	NAVAIR China Lake	9/14/2004	
6787882	Semiconductor varactor diode with doped heterojunction	Naval Research Laboratory	9/7/2004	
6787972	Piezoelectric rotary pump	Naval Research Laboratory	9/7/2004	
6788794	"Thin, lightweight acoustic actuator tile"	Naval Research Laboratory	9/7/2004	
6786336	Composite biosorbent for treatment of waste aqueous system(s) containing heavy metals	Army TechMatch Patent Lab	9/7/2004	
6787615	"Synthesis of oligomeric poly(silarylene-siloxane-acetylene)'s and their conversion to high temperature plastics, elastomers, and coatings"	Naval Research Laboratory	9/7/2004	
6788262	Ultra-broadband antenna incorporated into a garment with radiation absorber material to mitigate radiation hazard	"SPAWAR Systems Center, Pacific"	9/7/2004	
6787885	Low temperature hydrophobic direct wafer bonding	Naval Research Laboratory	9/7/2004	
6786711	Method and system for production of fibrous composite prototypes using acoustic manipulation in stereolithography	NAVSEA Newport	9/7/2004	
6787366	Microspot test kit and method for chemical testing	RDEC Edgewood Chemical Biological Center	9/7/2004	
6789070	Automatic feature selection system for data containing missing values	NAVSEA Newport	9/7/2004	
6786766	Electrical outlet box with secure quick connect and release features	"Tank-Automotive Research, Development and Engineering Center"	9/7/2004	
6784259	High temperature elastomers from linear poly(silarylene-siloxane-acetylene)	Naval Research Laboratory	8/31/2004	
6782829	Non-lethal cargo projectile	"Army Armament Research, Development & Engineering Center"	8/31/2004	
6782624	Modular barrier system for satisfying needs unique to a specific user	ERDC Geotechnical and Structures Laboratory	8/31/2004	
6785623	Business to business electronic test monitoring information system	NAVSEA Newport	8/31/2004	
6785125	Force activated switch	RDEC Edgewood Chemical Biological Center	8/31/2004	
6783613	Modified polybutadiene polymers that are both chemically degradable and physically compatible with energetic plasticizers for use in propellant and explosive binders	NAVSEA Indian Head	8/31/2004	
